b b b b b b b b b b b b b b b b b b b b b b b b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b p 0 s 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b b b b b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 s s s 0 0 0 0 0 s 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 b b b b b 0 0 0 0 b 0 0 b 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 s 0 0 0 s 0 0 0 0 s 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 b b b b b 0 0 0 0 b 0 0 b 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 b 
b 0 0 0 b b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 b 
b 0 0 b b b l l l l l l l l l l l l l l b s s b 
b b b b b b b b b b b b b b b b b b b b b b b b 
