b b b b b b b b b b b b b b b b b b b b b b b b 
b 0 0 0 0 0 0 0 0 0 0 0 0 b l 0 0 0 0 0 0 0 0 b 
l 0 0 0 0 0 0 0 0 0 0 0 0 b l 0 0 0 0 0 b 0 p l 
l 0 0 0 0 0 0 0 0 0 0 0 0 b b b 0 0 0 0 b s b l 
l 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b b 0 l 
l 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b b 0 0 l 
l 0 0 0 0 0 0 0 0 0 0 0 0 s 0 0 0 0 0 0 0 0 0 l 
l 0 0 0 0 0 0 0 0 0 0 b b b b b s 0 0 0 0 0 0 l 
l 0 0 0 0 0 0 0 0 0 b l l l l l b 0 0 0 0 0 0 l 
l 0 0 0 0 0 0 0 s b l 0 0 0 0 0 l b s 0 0 0 0 l 
l 0 0 0 b 0 0 0 b l 0 0 0 0 0 0 0 l b 0 0 0 0 l 
l 0 0 0 0 0 0 0 l 0 0 0 0 0 0 0 0 0 l 0 0 0 0 l 
l b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 l 
l 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 l 
l 0 0 s 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 l 
l 0 b b 0 0 0 b b 0 0 0 0 0 0 0 0 0 b 0 0 0 0 l 
l 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 l 
l 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 l 
l 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b l 
l 0 0 s 0 0 0 0 0 0 s 0 0 0 0 s 0 0 0 0 0 0 0 l 
l 0 0 b b 0 0 0 0 b b 0 0 0 0 b b 0 0 0 0 0 0 l 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 s b 
b b l l l l l l l l l l l l l l l l l l l l b b 
