b b b b b b b b b b b b b b b b b b b b b b b b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 b b b 0 0 b b 0 0 b b 0 0 b b b 0 0 b b b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b b b 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b s 0 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b b b 0 0 b 
b 0 0 b b b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 s b 
b b b 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 b b b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b 0 0 b b b 0 0 0 0 0 0 0 0 0 0 0 0 b s 0 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b b b 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b b b 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 s b 
b 0 0 0 0 b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 b b b 
b 0 0 b b b 0 0 0 0 0 0 0 0 0 0 0 0 b 0 0 0 0 b 
b 0 0 0 0 b l l l l l l l l l l l l b 0 0 0 p b 
b b b b b b b b b b b b b b b b b b b b b b b b 
